#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	msgf_fragmentation	msgf_protocol	report
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A	public_data/PXD003668/mgf/20130312_EXQ4_FaCo_SA_CL_DOV13_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130312_EXQ4_FaCo_SA_CL_DOV13_A_REP1	cell line DOV13	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_A/reports/20130312_EXQ4_FaCo_SA_CL_DOV13_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B	public_data/PXD003668/mgf/20130312_EXQ4_FaCo_SA_CL_DOV13_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130312_EXQ4_FaCo_SA_CL_DOV13_B_REP2	cell line DOV13	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_B/reports/20130312_EXQ4_FaCo_SA_CL_DOV13_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C	public_data/PXD003668/mgf/20130312_EXQ4_FaCo_SA_CL_DOV13_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130312_EXQ4_FaCo_SA_CL_DOV13_C_REP3	cell line DOV13	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130312_EXQ4_FaCo_SA_CL_DOV13_C/reports/20130312_EXQ4_FaCo_SA_CL_DOV13_C_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130314_EXQ4_FaCo_SA_CL_OVCA433_B	public_data/PXD003668/mgf/20130314_EXQ4_FaCo_SA_CL_OVCA433_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130314_EXQ4_FaCo_SA_CL_OVCA433_B_REP2	cell line OVCA433	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVCA433_B/reports/20130314_EXQ4_FaCo_SA_CL_OVCA433_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130314_EXQ4_FaCo_SA_CL_OVISE_A	public_data/PXD003668/mgf/20130314_EXQ4_FaCo_SA_CL_OVISE_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130314_EXQ4_FaCo_SA_CL_OVISE_A_REP1	cell line OVISE	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_A/reports/20130314_EXQ4_FaCo_SA_CL_OVISE_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130314_EXQ4_FaCo_SA_CL_OVISE_B	public_data/PXD003668/mgf/20130314_EXQ4_FaCo_SA_CL_OVISE_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130314_EXQ4_FaCo_SA_CL_OVISE_B_REP2	cell line OVISE	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_B/reports/20130314_EXQ4_FaCo_SA_CL_OVISE_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130314_EXQ4_FaCo_SA_CL_OVISE_C	public_data/PXD003668/mgf/20130314_EXQ4_FaCo_SA_CL_OVISE_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130314_EXQ4_FaCo_SA_CL_OVISE_C_REP3	cell line OVISE	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130314_EXQ4_FaCo_SA_CL_OVISE_C/reports/20130314_EXQ4_FaCo_SA_CL_OVISE_C_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_IOSE7576_C_REP3	cell line IOSE7576	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C/reports/20130315_EXQ4_FaCo_SA_CL_IOSE7576_C_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_IOSE7675_A	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_IOSE7675_A_REP1	cell line IOSE7576	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A/reports/20130315_EXQ4_FaCo_SA_CL_IOSE7675_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_IOSE7675_B_REP2	cell line IOSE7576	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B/reports/20130315_EXQ4_FaCo_SA_CL_IOSE7675_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A_REP1	cell line SKOV3IP1	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A/reports/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B_REP2	cell line SKOV3IP1	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B/reports/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C	public_data/PXD003668/mgf/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C_REP3	cell line SKOV3IP1	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C/reports/20130315_EXQ4_FaCo_SA_CL_SKOV3IP1_C_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130607_EXQ4_FaCo_SA_CL_A2780_A	public_data/PXD003668/mgf/20130607_EXQ4_FaCo_SA_CL_A2780_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130607_EXQ4_FaCo_SA_CL_A2780_A_REP1	cell line A2780	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_A/reports/20130607_EXQ4_FaCo_SA_CL_A2780_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130607_EXQ4_FaCo_SA_CL_A2780_B	public_data/PXD003668/mgf/20130607_EXQ4_FaCo_SA_CL_A2780_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130607_EXQ4_FaCo_SA_CL_A2780_B_REP2	cell line A2780	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780_B/reports/20130607_EXQ4_FaCo_SA_CL_A2780_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A	public_data/PXD003668/mgf/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130607_EXQ4_FaCo_SA_CL_A2780CP70_A_REP1	cell line A2780CP	Homo sapiens	1	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A/reports/20130607_EXQ4_FaCo_SA_CL_A2780CP70_A_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130607_EXQ4_FaCo_SA_CL_A2780CP70_B	public_data/PXD003668/mgf/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130607_EXQ4_FaCo_SA_CL_A2780CP70_B_REP2	cell line A2780CP	Homo sapiens	2	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B/reports/20130607_EXQ4_FaCo_SA_CL_A2780CP70_B_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130607_EXQ4_FaCo_SA_CL_A2780CP70_C	public_data/PXD003668/mgf/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130607_EXQ4_FaCo_SA_CL_A2780CP70_C_REP3	cell line A2780CP	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C/reports/20130607_EXQ4_FaCo_SA_CL_A2780CP70_C_sample_1_Default_Hierarchical_Report.txt
PXD003668	20130619_EXQ4_FaCo_SA_CL_A2780_C	public_data/PXD003668/mgf/20130619_EXQ4_FaCo_SA_CL_A2780_C.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	27561551	20130619_EXQ4_FaCo_SA_CL_A2780_C_REP3	cell line A2780	Homo sapiens	3	none	3	5	analysis/mass_spec/reanalysis_r1.6/PXD003668/20130619_EXQ4_FaCo_SA_CL_A2780_C/reports/20130619_EXQ4_FaCo_SA_CL_A2780_C_sample_1_Default_Hierarchical_Report.txt
