#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	report
PXD000867	20130408_EXQ6_BaAz_SA_H16R1_02	public_data/PXD000867/mgf/20130408_EXQ6_BaAz_SA_H16R1_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/2	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130408_EXQ6_BaAz_SA_H16R1_02/reports/20130408_EXQ6_BaAz_SA_H16R1_02_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130408_EXQ6_BaAz_SA_H16R1_03	public_data/PXD000867/mgf/20130408_EXQ6_BaAz_SA_H16R1_03.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/3	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130408_EXQ6_BaAz_SA_H16R1_03/reports/20130408_EXQ6_BaAz_SA_H16R1_03_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130408_EXQ6_BaAz_SA_H16R1_04	public_data/PXD000867/mgf/20130408_EXQ6_BaAz_SA_H16R1_04.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/4	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130408_EXQ6_BaAz_SA_H16R1_04/reports/20130408_EXQ6_BaAz_SA_H16R1_04_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130408_EXQ6_BaAz_SA_H16R1_05	public_data/PXD000867/mgf/20130408_EXQ6_BaAz_SA_H16R1_05.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/5	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130408_EXQ6_BaAz_SA_H16R1_05/reports/20130408_EXQ6_BaAz_SA_H16R1_05_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130408_EXQ6_BaAz_SA_H16R1_06	public_data/PXD000867/mgf/20130408_EXQ6_BaAz_SA_H16R1_06.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/6	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130408_EXQ6_BaAz_SA_H16R1_06/reports/20130408_EXQ6_BaAz_SA_H16R1_06_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_H16R1_01	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_H16R1_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	H16/1	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	12	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_H16R1_01/reports/20130409_EXQ6_BaAz_SA_H16R1_01_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_01	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/1	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_01/reports/20130409_EXQ6_BaAz_SA_K66R1_01_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_02	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/2	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_02/reports/20130409_EXQ6_BaAz_SA_K66R1_02_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_03	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_03.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/3	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_03/reports/20130409_EXQ6_BaAz_SA_K66R1_03_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_04	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_04.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/4	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_04/reports/20130409_EXQ6_BaAz_SA_K66R1_04_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_05	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_05.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/5	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_05/reports/20130409_EXQ6_BaAz_SA_K66R1_05_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130409_EXQ6_BaAz_SA_K66R1_06	public_data/PXD000867/mgf/20130409_EXQ6_BaAz_SA_K66R1_06.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	K66/6	Continuous cell line; Hepatic cell line (Hepa 1-6 or Hep-53.4 or J774.2)	Mus musculus	14	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130409_EXQ6_BaAz_SA_K66R1_06/reports/20130409_EXQ6_BaAz_SA_K66R1_06_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130411_EXQ6_BaAz_SA_LR1_01	public_data/PXD000867/mgf/20130411_EXQ6_BaAz_SA_LR1_01.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	LR1/1	Primary cells; Freshly isolated primary Hepatic cell type (HC or KC or LSEC or HSC or CHC)	Mus musculus	4	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130411_EXQ6_BaAz_SA_LR1_01/reports/20130411_EXQ6_BaAz_SA_LR1_01_sample_1_Default_Hierarchical_Report.txt
PXD000867	20130411_EXQ6_BaAz_SA_LR1_02	public_data/PXD000867/mgf/20130411_EXQ6_BaAz_SA_LR1_02.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD000867	25470552	LR1/2	Primary cells; Freshly isolated primary Hepatic cell type (HC or KC or LSEC or HSC or CHC)	Mus musculus	4	Experiment/fractions	analysis/mass_spec/reanalysis_r1.4/PXD000867/20130411_EXQ6_BaAz_SA_LR1_02/reports/20130411_EXQ6_BaAz_SA_LR1_02_sample_1_Default_Hierarchical_Report.txt
