#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	report
PXD010093	HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R1	Tissue Testis	Homo sapiens	1	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by trypsin	analysis/mass_spec/reanalysis_r1.4/PXD010093/HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R1/reports/HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	HF02_180507_XP_HCT_Trpsin_10-15_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180507_XP_HCT_Trpsin_10-15_3ul_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_10-15_3ul_F1_R1	Tissue Testis	Homo sapiens	1	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by trypsin	analysis/mass_spec/reanalysis_r1.4/PXD010093/HF02_180507_XP_HCT_Trpsin_10-15_3ul_F1_R1/reports/HF02_180507_XP_HCT_Trpsin_10-15_3ul_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	HF02_180507_XP_HCT_Trpsin_15-20_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180507_XP_HCT_Trpsin_15-20_3ul_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_15-20_3ul_F1_R1	Tissue Testis	Homo sapiens	1	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by trypsin	analysis/mass_spec/reanalysis_r1.4/PXD010093/HF02_180507_XP_HCT_Trpsin_15-20_3ul_F1_R1/reports/HF02_180507_XP_HCT_Trpsin_15-20_3ul_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	HF02_180507_XP_HCT_Trpsin_20-25_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180507_XP_HCT_Trpsin_20-25_3ul_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_20-25_3ul_F1_R1	Tissue Testis	Homo sapiens	1	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by trypsin	analysis/mass_spec/reanalysis_r1.4/PXD010093/HF02_180507_XP_HCT_Trpsin_20-25_3ul_F1_R1/reports/HF02_180507_XP_HCT_Trpsin_20-25_3ul_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	HF02_180507_XP_HCT_Trpsin_25-30_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180507_XP_HCT_Trpsin_25-30_3ul_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_25-30_3ul_F1_R1	Tissue Testis	Homo sapiens	1	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by trypsin	analysis/mass_spec/reanalysis_r1.4/PXD010093/HF02_180507_XP_HCT_Trpsin_25-30_3ul_F1_R1/reports/HF02_180507_XP_HCT_Trpsin_25-30_3ul_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	0000_XuPing_C1_0_10_20180425_33per_F1_R1	public_data/PXD010093/mgf/0000_XuPing_C1_0_10_20180425_33per_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	0000_XuPing_C1_0_10_20180425_33per_F1_R1.raw	Tissue Testis	Homo sapiens	2	Testis tissue fractionated by tricine-SDS-page then by Gel elution (2 fractions) or Gel separation (2 fractions)  (indistinguishable)	analysis/mass_spec/reanalysis_r1.4/PXD010093/0000_XuPing_C1_0_10_20180425_33per_F1_R1/reports/0000_XuPing_C1_0_10_20180425_33per_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	0000_XuPing_C1_10_15_20180425_33per_F1_R1	public_data/PXD010093/mgf/0000_XuPing_C1_10_15_20180425_33per_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	0000_XuPing_C1_10_15_20180425_33per_F1_R1.raw	Tissue Testis	Homo sapiens	2	Testis tissue fractionated by tricine-SDS-page then by Gel elution (2 fractions) or Gel separation (2 fractions)  (indistinguishable)	analysis/mass_spec/reanalysis_r1.4/PXD010093/0000_XuPing_C1_10_15_20180425_33per_F1_R1/reports/0000_XuPing_C1_10_15_20180425_33per_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	0000_XuPing_C_0_10_20180425_33per_F1_R1	public_data/PXD010093/mgf/0000_XuPing_C_0_10_20180425_33per_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	0000_XuPing_C_0_10_20180425_33per_F1_R1.raw	Tissue Testis	Homo sapiens	3	Testis tissue fractionated by tricine-SDS-page then by Gel elution (2 fractions) or Gel separation (2 fractions)  (indistinguishable)	analysis/mass_spec/reanalysis_r1.4/PXD010093/0000_XuPing_C_0_10_20180425_33per_F1_R1/reports/0000_XuPing_C_0_10_20180425_33per_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	0000_XuPing_C_10_15_20180425_33per_F1_R1	public_data/PXD010093/mgf/0000_XuPing_C_10_15_20180425_33per_F1_R1.mgf	Trypsin	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	0000_XuPing_C_10_15_20180425_33per_F1_R1.raw	Tissue Testis	Homo sapiens	3	Testis tissue fractionated by tricine-SDS-page then by Gel elution (2 fractions) or Gel separation (2 fractions)  (indistinguishable)	analysis/mass_spec/reanalysis_r1.4/PXD010093/0000_XuPing_C_10_15_20180425_33per_F1_R1/reports/0000_XuPing_C_10_15_20180425_33per_F1_R1_sample_1_Default_Hierarchical_Report.txt
PXD010093	HF02_180509_XP_HCT_R2P_0-10_3ul_F1_R1	public_data/PXD010093/mgf/HF02_180509_XP_HCT_R2P_0-10_3ul_F1_R1.mgf	LysargiNase	Carbamidomethylation of C	Oxidation of M, Acetylation of protein N-term	high	https://www.ebi.ac.uk/pride/archive/projects/PXD010093	30277781	HF02_180507_XP_HCT_Trpsin_0-10_3ul_F1_R2	Tissue Testis	Homo sapiens	4	Testis tissue fractionated by tricine-SDS-page with the range(KDA) of the fraction, digest by lysarginase	
