#dataset_identifier	experiment_name	dataset_path	enzyme_list	fixmods_list	variable_mods_list	ms_type	download	citation	sample	sample_type	specie_name	replicate	note	report
PXD002896	ErikM_S1406_034	public_data/PXD002896/mgf/ErikM_S1406_034.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_034	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_034/reports/ErikM_S1406_034_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_035	public_data/PXD002896/mgf/ErikM_S1406_035.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_035	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_035/reports/ErikM_S1406_035_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_036	public_data/PXD002896/mgf/ErikM_S1406_036.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_036	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_036/reports/ErikM_S1406_036_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_037	public_data/PXD002896/mgf/ErikM_S1406_037.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_037	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_037/reports/ErikM_S1406_037_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_038	public_data/PXD002896/mgf/ErikM_S1406_038.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_038	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_038/reports/ErikM_S1406_038_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_039	public_data/PXD002896/mgf/ErikM_S1406_039.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_039	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_039/reports/ErikM_S1406_039_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_040	public_data/PXD002896/mgf/ErikM_S1406_040.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_040	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_040/reports/ErikM_S1406_040_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_041	public_data/PXD002896/mgf/ErikM_S1406_041.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_041	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_041/reports/ErikM_S1406_041_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_042	public_data/PXD002896/mgf/ErikM_S1406_042.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_042	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_042/reports/ErikM_S1406_042_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_043	public_data/PXD002896/mgf/ErikM_S1406_043.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_043	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_043/reports/ErikM_S1406_043_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_067	public_data/PXD002896/mgf/ErikM_S1406_067.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_067	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_067/reports/ErikM_S1406_067_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_068	public_data/PXD002896/mgf/ErikM_S1406_068.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_068	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_068/reports/ErikM_S1406_068_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_069	public_data/PXD002896/mgf/ErikM_S1406_069.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_069	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_069/reports/ErikM_S1406_069_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_070	public_data/PXD002896/mgf/ErikM_S1406_070.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_070	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_070/reports/ErikM_S1406_070_sample_1_Default_Hierarchical_Report.txt
PXD002896	ErikM_S1406_071	public_data/PXD002896/mgf/ErikM_S1406_071.mgf	Trypsin	Carbamidomethylation of C		high	https://www.ebi.ac.uk/pride/archive/projects/PXD002896	26732734	ErikM_S1406_071	Tissue various organs	Mus musculus	1		analysis/mass_spec/reanalysis_r1.4/PXD002896/ErikM_S1406_071/reports/ErikM_S1406_071_sample_1_Default_Hierarchical_Report.txt
